PubmedID,Title,Publication Date,Non-academic Author(s),Company Affiliation(s),Corresponding Author Email
40669693,COVID-19 mRNA vaccine immune response to the addition of osteopathic manipulative treatment with lymphatic pumps: a randomized controlled trial.,2025-Jul-14,"Julieanne P Sees, Laura J Peek, Gary Pestano","Fellow of Osteopathic Medicine, the National Academy of Medicine, Washington D.C., USA., Biodesix, Inc., Louisville, CO, USA., Biodesix, Inc., Louisville, CO, USA.",jsanchez@westernu.edu.
40669667,Mucous Membrane Pemphigoid After SARS-CoV-2 Vaccine.,2025-Jul-14,"I Oteiza-Rius, A España","Dermatology Department of Clínica Universidad de Navarra, Spain. Electronic address: ioteiza@unav.es., Dermatology Department of Clínica Universidad de Navarra, Spain.",ioteiza@unav.es.
40668813,"Perceived shifts in routine vaccine confidence during the COVID-19 pandemic in Kinshasa Province, DRC: A mixed-methods approach.",2025,"Patrick Ngimbi, Nana Mbonze, Sarah Ntambua, Jolie Matondo, Melchior M Kashamuka, Linda James, Samuel Mampunza","Faculté de Médecine, Université Protestante au Congo, Kinshasa, Democratic Republic of the Congo., Faculté de Médecine, Université Protestante au Congo, Kinshasa, Democratic Republic of the Congo., Faculté de Médecine, Université Protestante au Congo, Kinshasa, Democratic Republic of the Congo., Faculté de Médecine, Université Protestante au Congo, Kinshasa, Democratic Republic of the Congo., L'École de Santé Publique, Université de Kinshasa, Kinshasa, Democratic Republic of the Congo., Faculté de Médecine, Université Protestante au Congo, Kinshasa, Democratic Republic of the Congo., Faculté de Médecine, Université Protestante au Congo, Kinshasa, Democratic Republic of the Congo.",
40668582,Self-Reported Resilience During the COVID-19 Pandemic.,2025-Jul-01,"Elizabeth A Regan, Victor E Ortega","Division of Rheumatology, Department of Medicine, National Jewish Health, Denver, Colorado., Division of Pulmonary Medicine, Department of Medicine, Mayo Clinic, Phoenix, Arizona.",
40668543,"Comment on ""Persistence of a High Seroconversion Rate 3.2 0.13 Years After Last COVID-19 Vaccination in Heart Transplant Recipients"".",2025-Jul,Hinpetch Daungsupawong,"Private Academic Consultant, Phonhong, Lao People's Democratic Republic.",
40666235,"Risk Factors and Clinical Features of Deterioration in 739 COVID-19 Affected Children Aged Under 14 Years in Zhuhai, China: A Multicenter, Retrospective Study.",2025-Jun,"Cheng Zhang, Fanlin Huang, Jundong Ding","Department of Pediatrics Zhuhai People's Hospital Zhuhai Guangdong China., Department of Pediatrics Xiangzhou District People's Hospital Zhuhai Guangdong China., Department of Pediatrics Zhuhai Fifth People's Hospital Zhuhai Guangdong China.",
40666168,"Correction: External relationships as implementation determinants in community-engaged, equity-focused COVID-19 vaccination events.",2025,"Eldon Alik, Stephanie Takamaru","Consulate General of Arkansas, Republic of the Marshall Islands, Springdale, AR, United States., Arkansas Coalition of Marshallese, Springdale, AR, United States.",
40665756,T Cell Response Evaluation After A Fifth Dose of an Inactivated SARS-CoV-2 Vaccine Using Multiparametric Flow Cytometry.,2025-Jul,Alex Cabrera,"Flow Cytometry Facility, Facultad de Ciencias Biológicas, Pontificia Universidad Católica de Chile, Santiago, Chile.",
40665547,Effect of the COVID-19 Pandemic on Trends in Influenza Vaccination and Health Screening Among Korean Adults.,2025-Jul-15,Hong Yup Ahn,"Department of Research and Analysis, National Health Insurance Service Ilsan Hospital, Goyang, Republic of Korea.",
40665279,"The optimal strategy for seasonal influenza vaccination to prevent high-intensity level of influenza epidemics in Zhejiang, China: an integrated transmission-dynamic and health-economic modeling analysis.",2025-Jul-15,"Mengya Yang, Qin Chen","Quzhou People's Hospital, No.100 of Minjiang Street, Quzhou, 32400, Zhejiang, China., Department of Public Health, Ningbo No.2 Hospital, Ningbo, China. Qin_Chen_PHP@yeah.net.",Qin_Chen_PHP@yeah.net.
40664645,Evaluating the safety of XBB.1.5-containing COVID-19 mRNA vaccines using a self-controlled case series study.,2025-Jul-15,Yuanyi Pan,"Department of Radiology, People's Hospital of Guizhou Province, Guiyang, Guizhou Province, China.",yxw1205@163.com.
40664545,"Exploring COVID-19 vaccination behavior: A cross-country study among pregnant and postpartum women in Brazil, Ghana, Kenya, and Pakistan.",2025-Jul-14,Vanessa Brizuela,"UNDP/UNFPA/UNICEF/WHO/World Bank Special Programme of Research,Development and Research Training in Human Reproduction, Department of Sexual and Reproductive Health and Research, World Health Organization, Geneva 1211, Switzerland. Electronic address: brizuelav@who.int.",rlimaye@jhu.edu.
40664396,"Antibody Response in Healthcare Workers During the Severe Acute Respiratory Syndrome Coronavirus 2 Gamma Variant Outbreak in Manaus, Brazil.",2025-Jul-16,"Evelyn Campelo, Maria Clara Padoveze, Lucia Y I Nichiata, Kassia Lima, Aida Cristina Tapajos, Ariana Vieira, Cristiano Fernandes da Costa, Felipe G Naveca, Tatyana C Amorim Ramos, Pritesh Lalwani","Fundação de Vigilância em Saúde do Estado do Amazonas, Manaus, Amazonas, Brazil., Universidade de São Paulo, Escola de Enfermagem, São Paulo, Sao Paulo, Brazil., Universidade de São Paulo, Escola de Enfermagem, São Paulo, Sao Paulo, Brazil., Hospital Pronto Socorro 28 de Agosto, Manaus, Amazonas, Brazil., Hospital Pronto Socorro Platão Araújo, Manaus, Amazonas, Brazil., Hospital Pronto Socorro Platão Araújo, Manaus, Amazonas, Brazil., Conselho de Secretarias Municipais de Saúde do Amazonas, Manaus, Amazonas, Brazil., Instituto Leônidas e Maria Deane, Fiocruz, Amazonas, Brazil., Fundação de Vigilância em Saúde do Estado do Amazonas, Manaus, Amazonas, Brazil., Instituto Leônidas e Maria Deane, Fiocruz, Amazonas, Brazil.",
40663351,"Pediatric COVID-19 Hospitalization Trends by Race and Ethnicity, 2020-2023.",2025-Jul-01,"Pam Daily Kirley, Darpun Sachdev, Nisha B Alden, Isaac Armistead, Maya L Monroe, Sue Kim, Elizabeth Urlaub, Kathryn Como-Sabetti, Paige D'Heilly, Susan L Ropp, Jemma V Rowlands, Grant Barney, Melissa Sutton, Nasreen Abdullah, Ryan Chatelain, Andrea Price","California Emerging Infections Program, Oakland., California Department of Public Health, Richmond., Colorado Department of Public Health & Environment, Denver., Colorado Department of Public Health & Environment, Denver., Maryland Department of Health, Baltimore., Michigan Department of Health and Human Services, Lansing., Michigan Department of Health and Human Services, Lansing., Minnesota Department of Health, St Paul., Minnesota Department of Health, St Paul., New Mexico Department of Health, Santa Fe., New York State Department of Health, Albany., New York State Department of Health, Albany., Public Health Division, Oregon Health Authority, Portland., Public Health Division, Oregon Health Authority, Portland., Salt Lake County Health Department, Salt Lake City, Utah., Salt Lake County Health Department, Salt Lake City, Utah.",
40663029,Responses of Kidney Transplant Recipients to Vaccination and Boosting.,2025-Jul-15,"Walter D Park, Sumi S Nair, Hani M Wadei, Yun Liang, Byron H Smith, Ahmed Abdelrheem, Carrie A Schinstock, Nina Ahmad, Richard B Simonson, Martin F Ryser, Gabriela Tapia-Cealle, Andrew D Badley, Mark D Stegall","Department of Surgery and Immunology, Mayo Clinic, Rochester, MN, USA. Electronic address: park.walter@mayo.edu., Department of Medicine, Mayo Clinic, Phoenix, AZ, USA., Division of Nephrology and Hypertension, Mayo Clinic, Jacksonville, FL, USA., Department of Surgery and Immunology, Mayo Clinic, Rochester, MN, USA., Department of Health Sciences Research, Mayo Clinic, Rochester, MN, USA., Department of Surgery and Immunology, Mayo Clinic, Rochester, MN, USA., Division of Nephrology and Hypertension, Mayo Clinic, Rochester, MN, USA., Janssen Scientific Affairs, LLC, Titusville, NJ, USA., Janssen Scientific Affairs, LLC, Titusville, NJ, USA., Janssen Scientific Affairs, LLC, Titusville, NJ, USA., Janssen Vaccines and Prevention, Leiden, the Netherlands., Division of Infectious Diseases, Mayo Clinic, Rochester, MN, USA., Department of Surgery and Immunology, Mayo Clinic, Rochester, MN, USA.",park.walter@mayo.edu.
40662956,Analysis of recognized occupational infectious diseases in Germany between 2018 and 2023.,2025-Jul-15,Stephanie Schneider,"German Social Accident Insurance (DGUV), Berlin, Germany.",
40662108,Corrigendum: Community-engaged curriculum development using racial justice and biomedical lenses to address COVID-19 vaccine hesitancy in black individuals with rheumatologic conditions.,2025,"Greta Sirek, Mia Chandler, Ariel Childs, Amar Dhand, Mary Dollear, Alice Eggleston, Nnenna Ezeh, Denice Garrett, Gail Granville, Mary Ann Nelson, Mary Beth Son, Marie Jacques Toussaint, Ana Valle, Karen Mancera-Cuevas, Candace H Feldman","Division of Rheumatology, Inflammation and Immunity, Department of Medicine, Brigham and Women's Hospital, Boston, MA, United States., The Rheumatology Program, Boston Children's Hospital, Boston, MA, United States., Vital CxNs, Boston, MA, United States., Division of Neurology, Brigham and Women's Hospital, Boston, MA, United States., Lupus Society of Illinois, Chicago, IL, United States., Alliance Chicago, Chicago, IL, United States., Department of Internal Medicine and Dermatology, Brigham and Women's Hospital, Boston, MA, United States., Action for Boston Community Development, Inc., Boston, MA, United States., Mattapan Community Development Corp, Women of Courage, Boston, MA, United States., Mission Hill Health Movement Inc., Roxbury, MA, United States., Division of Rheumatology, Inflammation and Immunity, Department of Medicine, Brigham and Women's Hospital, Boston, MA, United States., Division of Global Health Equity, Brigham and Women's Hospital, Boston, MA, United States., Division of Rheumatology, Inflammation and Immunity, Department of Medicine, Brigham and Women's Hospital, Boston, MA, United States., Department of Health Equity, National Health Council, Washington, DC, United States., Division of Rheumatology, Inflammation and Immunity, Department of Medicine, Brigham and Women's Hospital, Boston, MA, United States.",
40660830,How do drug discovery scientists address the unmet need of long COVID syndrome therapeutics and what more can be done?,2025-Jul-16,"Chiara D'Amore, Tiziana Ascione","Department of Infectious Diseases, AOU, ""San Giovanni di Dio e Ruggi D'Aragona"", Salerno, Italy., Service of Infectious Diseases, AORN Cardarelli Hospital, Naples, Italy.",
40660740,Coronavirus Disease 2019 Vaccination Booster Effectiveness Based on the 2022 Japanese Dialysis Registry.,2025-Jul,Kan Kikuchi,"Division of Nephrology, Shimoochiai Clinic, Tokyo, Japan.",
40660535,COVID-19 vaccination status and the risk of developing lung diseases: A Mendelian randomization study.,2025-Jul-11,Miao Song,"Department of Emergency Medicine, Shanghai Eighth People's Hospital, Shanghai, China.",
40660410,"A scoping review: the impact of nutritional status on the efficacy, effectiveness, and immunogenicity of COVID-19 vaccines.",2025-Jul-15,"Vicka Oktaria, Bayu Satria Wiratama, Slamet Riyanto, Ratih Puspitaningtyas Purbaningrum, Citra Widya Kusuma, Lintang Dian Saraswati, Vitri Widyaningsih, Ratih Puspita Febrinasari, Ari Probandari, Riris Andono Ahmad","Department of Biostatistics, Epidemiology, and Population Health, Faculty of Medicine, Public Health and Nursing, Universitas Gadjah Mada, Yogyakarta, 55281, Indonesia., Department of Biostatistics, Epidemiology, and Population Health, Faculty of Medicine, Public Health and Nursing, Universitas Gadjah Mada, Yogyakarta, 55281, Indonesia. bayu.satria@ugm.ac.id., Master of Public Health Program, Faculty of Medicine, Public Health and Nursing, Universitas Gadjah Mada, Yogyakarta, 55281, Indonesia., Master of Public Health Program, Faculty of Medicine, Public Health and Nursing, Universitas Gadjah Mada, Yogyakarta, 55281, Indonesia., Department of Biostatistics, Epidemiology, and Population Health, Faculty of Medicine, Public Health and Nursing, Universitas Gadjah Mada, Yogyakarta, 55281, Indonesia., Department of Epidemiology, Faculty of Public Health, Universitas Diponegoro, Semarang, 50275, Indonesia., Faculty of Medicine, Universitas Sebelas Maret, Surakarta, 57126, Indonesia., Faculty of Medicine, Universitas Sebelas Maret, Surakarta, 57126, Indonesia., Faculty of Medicine, Universitas Sebelas Maret, Surakarta, 57126, Indonesia., Department of Biostatistics, Epidemiology, and Population Health, Faculty of Medicine, Public Health and Nursing, Universitas Gadjah Mada, Yogyakarta, 55281, Indonesia.",bayu.satria@ugm.ac.id.
40659940,Correction: A case of autosomal dominant polycystic kidney disease with systemic lupus erythematosus developing after SARS‑CoV‑2 vaccination.,2025-Jul-15,"Akihisa Hattori, Soichiro Nomura","Department of Nephrology, Ibaraki Prefectural Central Hospital, Ibaraki, 6528 Koibuchi, Kasama, Ibaraki, 309-1793, Japan., Department of Nephrology, Tsukuba Gakuen Hospital, Ibaraki, 2573-1 Kamiyokoba, Tsukuba, Ibaraki, 305-0854, Japan.",k-yamaga@md.tsukuba.ac.jp.
40658525,US FDA Safety Labeling Change for mRNA COVID-19 Vaccines.,2025-Jul-14,"Vinay Prasad, Martin A Makary","US Food and Drug Administration, Silver Spring, Maryland., US Food and Drug Administration, Silver Spring, Maryland.",
40658388,Metformin and Time to Sustained Recovery in Adults With COVID-19: The ACTIV-6 Randomized Clinical Trial.,2025-Jul-14,"Matthew W McCarthy, Florence Thicklin, Jonathan B Cohen, Idania T Garcia Del Sol, Juan Ruiz-Unger, Nirav S Shah, Manisha Mehta","Weill Cornell Medicine, New York, New York., Stakeholder Advisory Committee, Pittsburgh, Pennsylvania., Jadestone Clinical Research LLC, Silver Spring, Maryland., L&A Morales Healthcare Inc, Miami, Florida., Innovation Clinical Trials Inc, Miami, Florida., Endeavor Health, Evanston, Illinois., GCF of Southeastern Michigan, PC, Detroit.",
40657718,Pediatric Routine Immunization Delays in Chicago Before and After the Onset of the COVID-19 Pandemic: A Time-to-Event Analysis.,2025-Jul-14,"Elizabeth Meininger, Spencer Gorelick, Stephanie Gretsch","Disease Control Bureau, Chicago Department of Public Health, Chicago, IL, USA., Disease Control Bureau, Chicago Department of Public Health, Chicago, IL, USA., Disease Control Bureau, Chicago Department of Public Health, Chicago, IL, USA.",
40657165,Viral Etiologies of Acute Respiratory Illness in Older Adults and of Congestive Heart Failure and Chronic Obstructive Pulmonary Disease Exacerbations Requiring Hospitalization During 2 Prepandemic Respiratory Seasons.,2025-Jul,"Robin Hubler, Elizabeth Begier, Qing Liu, Sonal Uppal, Warren V Kalina, Bradford Gessner, Luis Jodar, Inci Yildirim","Pfizer, Inc. New York, New York, USA., Pfizer, Inc. New York, New York, USA., Pfizer, Inc. New York, New York, USA., Pfizer, Inc. New York, New York, USA., Pfizer, Inc. New York, New York, USA., Pfizer, Inc. New York, New York, USA., Pfizer, Inc. New York, New York, USA., Department of Pediatrics, Yale-New Haven Hospital, New Haven, Connecticut, USA.",
40657012,Quantitative Immunoglobulin G and Interferon-Gamma Responses After Different Booster Strategies of CoronaVac and BNT162b2 Vaccines in Türkiye.,2025-Jun,"Aylin İrem Ocaklı, Mertcan Uzun","Department of Medical Microbiology, Etlik City Hospital, Ankara, Türkiye., Department of Infectious Diseases and Clinical Microbiology, Eskil State Hospital, Aksaray, Türkiye.",
40655563,Socio-Demographic and Psychological Determinants of COVID-19 Vaccination Intention in Europe and North America: A Systematic Review.,2025-May-26,Oleksandra Umanets,"ACES Oeste Sul, USF Arandis, Arandis, Portugal.",
40655424,Visualization of the Evolution and Transmission of Circulating Vaccine-Derived Poliovirus (cVDPV) Outbreaks in the African Region.,2025-Jul-05,"Collins D Owuor, Brook Tesfaye, Arthur Yannick Doungmo Wakem, Sakma Kabore, Caroline Obianuju Ikeonu, Mariette Egbonoumi Fifatin Glitho Epse Doussoh, Priscilla Epse Mosoke Bobimwoh Sigala, Idris Ibrahim Ibrahim, Abdullateef Jimoh, Idah Ndumba, Jermaine Khumalo, David O Oviaesu, Cheroigin Kipchirchir, Carolyne Gathenji, John Kipterer, Kebba Touray, Hamisu Abdullahi, Kathleen Rankin, Ousmane M Diop, Julius E Chia, Ndoutabe Modjirom, Jamal A Ahmed, Anfumbom K W Kfutwah","Polio Eradication Program, Office of the Regional Director, World Health Organization, Regional Office for Africa, Brazzaville, Republic of the Congo., Polio Eradication Program, Office of the Regional Director, World Health Organization, Regional Office for Africa, Brazzaville, Republic of the Congo., Polio Eradication Program, Office of the Regional Director, World Health Organization, Regional Office for Africa, Brazzaville, Republic of the Congo., Polio Eradication Program, Office of the Regional Director, World Health Organization, Regional Office for Africa, Brazzaville, Republic of the Congo., Polio Eradication Program, Office of the Regional Director, World Health Organization, Regional Office for Africa, Brazzaville, Republic of the Congo., Polio Eradication Program, Office of the Regional Director, World Health Organization, Regional Office for Africa, Brazzaville, Republic of the Congo., Polio Eradication Program, Office of the Regional Director, World Health Organization, Regional Office for Africa, Brazzaville, Republic of the Congo., Polio Eradication Program, Office of the Regional Director, World Health Organization, Regional Office for Africa, Brazzaville, Republic of the Congo., Polio Eradication Program, Office of the Regional Director, World Health Organization, Regional Office for Africa, Brazzaville, Republic of the Congo., Polio Eradication Program, Office of the Regional Director, World Health Organization, Regional Office for Africa, Brazzaville, Republic of the Congo., Polio Eradication Program, Office of the Regional Director, World Health Organization, Regional Office for Africa, Brazzaville, Republic of the Congo., Polio Eradication Program, Office of the Regional Director, World Health Organization, Regional Office for Africa, Brazzaville, Republic of the Congo., Polio Eradication Program, Office of the Regional Director, World Health Organization, Regional Office for Africa, Brazzaville, Republic of the Congo., Polio Eradication Program, Office of the Regional Director, World Health Organization, Regional Office for Africa, Brazzaville, Republic of the Congo., Polio Eradication Program, Office of the Regional Director, World Health Organization, Regional Office for Africa, Brazzaville, Republic of the Congo., Polio Eradication Program, Office of the Regional Director, World Health Organization, Regional Office for Africa, Brazzaville, Republic of the Congo., Polio Eradication Program, Office of the Regional Director, World Health Organization, Regional Office for Africa, Brazzaville, Republic of the Congo., Gates Foundation, Seattle, WA, USA., Polio Eradication Program, World Health Organization, Geneva, Switzerland., Polio Eradication Program, Office of the Regional Director, World Health Organization, Regional Office for Africa, Brazzaville, Republic of the Congo., Polio Eradication Program, Office of the Regional Director, World Health Organization, Regional Office for Africa, Brazzaville, Republic of the Congo., Polio Eradication Program, World Health Organization, Geneva, Switzerland., Polio Eradication Program, Office of the Regional Director, World Health Organization, Regional Office for Africa, Brazzaville, Republic of the Congo.",
40654016,Exploring the Immune Response to COVID-19 Vaccines in Dialysis and Transplant Patients.,2025-Jul-14,"Hui Wen You, Boon Hong Kong, Shian Feng Cheng, Reena Rajasuriar","Faculty of Medicine, Universiti Malaya, Kuala Lumpur, Wilayah Persekutuan, Malaysia., Department of Molecular Medicine, Faculty of Medicine, Universiti Malaya, Kuala Lumpur, Wilayah Persekutuan, Malaysia., Department of Nephrology, Universiti Malaya, Kuala Lumpur, Wilayah Persekutuan, Malaysia., Department of Medicine, Universiti Malaya, Kuala Lumpur, Wilayah Persekutuan, Malaysia.",
40653502,Prior human endemic coronavirus exposure does not affect humoral responses to SARS-CoV-2 protein vaccines.,2025-Jul-13,"Guy de Bruyn, Haritha Adhikarla, Yichen Jia, Donghui Zhang, Roman M Chicz, Saranya Sridhar","Sanofi Vaccines Research & Development, Swiftwater, PA, USA. guy.debruyn@sanofi.com., Sanofi Vaccines Research & Development, Swiftwater, PA, USA., Sanofi Vaccines Research & Development, Swiftwater, PA, USA., Sanofi Vaccines R&D, Orlando, FL, USA., Sanofi Vaccines R&D, Waltham, MA, USA., Sanofi Vaccines R&D, Reading, UK.",guy.debruyn@sanofi.com.
40653415,"COVID-19 vaccine attitudes and behaviors among pregnant women in Nairobi, Kenya with diverse socio-economic and educational backgrounds.",2025-Jul-12,"Mandeep Sura, Grace Belayneh","Pumwani Maternity Hospital, P.O Box 42849-00100, Nairobi, Kenya., Independent Consultant, Toronto, Canada.",jlschue@jhu.edu.
40652773,"The partnership for vaccine confidence: community-academic partnerships to promote COVID-19 vaccines to underserved urban and rural communities using the listen, plan, act, evaluate process.",2025-Jul-12,Jocelyn Castillo,"Yakima Health District, Yakima, WA, United States.",harak@uw.edu.
40652684,SARS-CoV-2 vaccine failure rates and predictors of immune response in a diverse immunocompromised patient population.,2025-Jul-12,"Kaniel Cassady, Erica Chio, Andrea T Hooper, Matthew F Wipperman","Global Development Regeneron Pharmaceuticals, Inc., Tarrytown, NY, USA., Global Development Regeneron Pharmaceuticals, Inc., Tarrytown, NY, USA., Global Development Regeneron Pharmaceuticals, Inc., Tarrytown, NY, USA., Global Development Regeneron Pharmaceuticals, Inc., Tarrytown, NY, USA.",Benjamin.greenberg@utsouthwestern.edu.
40652680,Changes in pneumococcal vaccination disparities by area-level social vulnerability during the COVID-19 pandemic among Medicare and Medicaid enrollees.,2025-Jul-12,"Salini Mohanty, Jelena Zurovac, Michael Barna, Nicole Cossrow, Peter C Fiduccia, Kelsie Cassell, Esther Smith-Howell, Valina C McGuinn, Saumya Chatrath, Priya Shanmugam, Aparna Keshaviah, Dmitriy Poznyak, Alyssa Evans, Kristen A Feemster","Merck & Co., Inc., Rahway, NJ, USA. Electronic address: Salini.Mohanty@merck.com., Mathematica, Inc., Princeton, NJ, USA., Mathematica, Inc., Princeton, NJ, USA., Merck & Co., Inc., Rahway, NJ, USA., Merck & Co., Inc., Rahway, NJ, USA., Merck & Co., Inc., Rahway, NJ, USA., Merck & Co., Inc., Rahway, NJ, USA., Merck & Co., Inc., Rahway, NJ, USA., Mathematica, Inc., Princeton, NJ, USA., Mathematica, Inc., Princeton, NJ, USA., Mathematica, Inc., Princeton, NJ, USA., Mathematica, Inc., Princeton, NJ, USA., Mathematica, Inc., Princeton, NJ, USA., Merck & Co., Inc., Rahway, NJ, USA.",Salini.Mohanty@merck.com.
40651842,Analyzing attitudes toward COVID-19 vaccine decision making among pregnant women in Pakistan.,2025-Jul-11,Sami L Gottlieb,"UNDP/UNFPA/UNICEF/WHO/World Bank Special Programme of Research, Development and Research Training in Human Reproduction, Department of Sexual and Reproductive Health and Research, World Health Organization, Geneva 1211, Switzerland. Electronic address: gottliebs@who.int.",saleem.jessani@aku.edu.
40651498,Developing and Implementing an Intervention to Increase Immunization Coverage Among Frontline Long-Term Care Staff.,2025-Jul-09,"Elizabeth A Sobczyk, Ellen M Schultz, David M Casey, Heather L Roney, Sheena A Bumpas, Leslie B Eber","The Post-Acute and Long-Term Care Medical Association, Columbia, MD, USA. Electronic address: esobczyk@paltmed.org., Ellen Schultz Consulting, Deerfield, IL, USA., The Post-Acute and Long-Term Care Medical Association, Columbia, MD, USA., The Post-Acute and Long-Term Care Medical Association, Columbia, MD, USA., National Association of Health Care Assistants, Duncan, OK, USA., Rocky Mountain Senior Care, Golden, CO, USA.",esobczyk@paltmed.org.
40651308,Purification and characterization of recombinant neuraminidase as a potentially broadly protective influenza virus vaccine candidate.,2025-Jul-11,Brooks Hayes,"Expression Systems, an Advancion Company, Davis, CA, USA.",nico.lingg@boku.ac.at.
40651307,"The predictors of full, partial and no COVID-19 vaccination among immigrants and non-immigrants.",2025-Jul-11,Orit Cohen Castel,"Maccabi Healthcare Services, Division of Family Medicine, The Rappaport Faculty of Medicine, The Technion, Haifa, Israel. Electronic address: cohenk_o@mac.org.il.",czlotnick@univ.haifa.ac.il.
