PubmedID,Title,Publication Date,Non-academic Author(s),Company Affiliation(s),Corresponding Author Email
40633772,Low-frequency ultrasound-mediated blood-brain barrier opening enables non-invasive lipid nanoparticle RNA delivery to glioblastoma.,2025-Jul-07,Dana Bar-On,"Teva Pharmaceutical Industries, Netanya, Israel.",ilovitsh@tauex.tau.ac.il.
40626151,The oncogenic role of SPOCK1 in lung carcinoma by promoting immune evasion and its related mechanisms.,2025-Aug,"Juan Chen, Dan Wei, Wenzhe Zhang, Wanhui Xie","Department of Respiratory Medicine, No. 215 Hospital of Shaanxi Nuclear Industry, Xianyang, China., Department of Respiratory Medicine, No. 215 Hospital of Shaanxi Nuclear Industry, Xianyang, China., Department of Respiratory Medicine, No. 215 Hospital of Shaanxi Nuclear Industry, Xianyang, China., Department of Respiratory Medicine, No. 215 Hospital of Shaanxi Nuclear Industry, Xianyang, China.",
40619794,Current Anti-Myeloma Chimeric Antigen Receptor-T Cells: Novel Targets and Methods.,2025-Jul-01,"Ece Vural, Meral Beksaç","Clinic of Hematology, Ankara Liv Hospital, Ankara, Türkiye., Clinic of Hematology, Ankara Liv Hospital, Ankara, Türkiye.",
40616731,Attenuation of brucine action on DMBA/TPA-induced skin cancer by PI3K/Akt/mTOR signaling.,2025-Jul-05,"Ao Huang, Lian Zhang, Hong Luo","Department of Skin STD, The First Hospital of Changsha, Hunan Province, Changsha, 410000, China., Department of Skin STD, The Third People's Hospital of Shenzhen, Shenzhen, 518000, China., Department of Skin STD, The Third People's Hospital of Shenzhen, Shenzhen, 518000, China. lh3602677@sina.com.",YYXiao301hBJ@yeah.net.
40615369,Targeting the ROCK2/UBA52/DRP1 axis enhances ferroptosis and overcomes pemigatinib resistance in Cholangiocarcinoma.,2025-Jul-04,"Bolin Zhang, Shouhua Zhang, Wei Zhou","Department of Abdominal Surgery, Jiangxi Cancer Hospital, Nanchang, China., Department of General Surgery, Jiangxi Children's Hospital, Nanchang, Jiangxi Province, China., Department of Abdominal Surgery, Jiangxi Cancer Hospital, Nanchang, China. doctorfdzw@163.com.",18770099029@126.com.
40613352,Nanobody-Decorated Lipid Nanoparticles for Enhanced mRNA Delivery to Tumors In Vivo.,2025-Jul-04,"Vincenzo Verdi, Guido Jenster, Wytske M van Weerden, Guillaume van Niel","Institut de Psychiatrie et Neurosciences de Paris, Université Paris Cité, INSERM 1266, Paris, 75014, France., Department of Urology, Erasmus MC, Rotterdam, 3015GD, The Netherlands., Department of Urology, Erasmus MC, Rotterdam, 3015GD, The Netherlands., Institut de Psychiatrie et Neurosciences de Paris, Université Paris Cité, INSERM 1266, Paris, 75014, France.",
40613218,Evaluation of HMGB1 as possible marker via breast organoid cultures research.,2025-Sep,"Massimiliano D'Aiuto, Gennaro Mossetti","Clinica Villa Fiorita, I-81031 Aversa, Italy., Pathological Anatomy Service, Maria Rosaria Clinic, Pompei, I-80045 Naples, Italy.",
40606990,Cardiovascular adverse effects of immunotherapy in cancer: insights and implications.,2025,"Haiping Du, Jie Wang, Zhen Wang","Department of Cardiology, Yantaishan Hospital, Yantai, Shandong, China., Department of Cardiac Care Unit, Yantaishan Hospital, Yantai, Shandong, China., Department of Cardiology, Yantaishan Hospital, Yantai, Shandong, China.",
40604818,STK3 is a transcriptional target of YAP1 and a hub component in the crosstalk between Hippo and Wnt signaling pathways during gastric carcinogenesis.,2025-Jul-02,Jianwu Chen,"Department of Burn and Plastic Surgery, General Hospital of Southern Theater Command, PLA, Guangzhou, China.",weikang@cuhk.edu.hk.
40602406,Cardiolipin-mimic lipid nanoparticles without antibody modification delivered senolytic in vivo CAR-T therapy for inflamm-aging.,2025-Jul-15,"Jiang Hu, Xun Gui, Rui Wang, Yun Yang","Shanghai CirCode Biomed Co.,Ltd., Shanghai 200131, China., Mabwell (Shanghai) Bioscience Co., Ltd., Shanghai 201210, China., Mabwell (Shanghai) Bioscience Co., Ltd., Shanghai 201210, China., Shanghai CirCode Biomed Co.,Ltd., Shanghai 200131, China. Electronic address: yangyun@circodebio.com.",yangyun@circodebio.com.
40594966,The mechanism of Bletilla striata inhibiting glioma proliferation through the PI3K/AKT/mTOR signaling pathway based on network Pharmacology analysis.,2025-Jul-01,"Fenglian Ren, Changyang He, Xianmei Zhong","Department of Oncology, Nanbu People's Hospital, Nanbu, 637300, Sichuan, China., Department of Pharmacy, Nanbu People's Hospital, Nanbu, 637300, Sichuan, China., Department of Pharmacy, Nanbu People's Hospital, Nanbu, 637300, Sichuan, China. zhongxiaohaha@126.com.",zhouchunyang@nsmc.edu.cn.
40587726,"Impact of neoadjuvant therapy on cancer stem cell gene expression and miRNA profiles in breast cancer patients: Implications for therapy resistance and survival, a cross-sectional observational study.",2025-Jun-27,Müzeyyen Burcu Kaplan Yilmaz,"Department of Pathology, Abdurrahman Yurtaslan Onkoloji Research and Training Hospital, Ankara, Turkey.",
40581663,Identifying and exploiting combinatorial synthetic lethality by characterizing adaptive kinome rewiring of EGFRvIII-driven glioblastoma.,2025-Jun-28,Jann N Sarkaria,"Department of Radiation Oncology, Mayo Clinic, Rochester, MN, USA.",ryanmiller@uabmc.edu.
40579921,PTBP1 and Cancer: From RNA Regulation to Therapeutic Potential.,2025-Jul,Chengdong Ji,"Pathology Department, The Ninth People's Hospital of Suzhou, Suzhou, China.",
40575485,The oncolytic avian reovirus p17 protein suppresses invadopodia formation via disruption of TKs5 complexes and oncogenic signaling pathways.,2025,"Chao-Yu Hsu, Lon-Fye Lye","Division of Urology, Department of Surgery, Tungs' Taichung MetroHarbor Hospital, Taichung, Taiwan., Department of Medical Research, Tungs' Taichung MetroHarbor Hospital, Taichung, Taiwan.",
40565018,RIPK1 in Diffuse Glioma Pathology: From Prognosis Marker to Potential Therapeutic Target.,2025-Jun-10,"Leslie C Amorós Morales, Santiago M Gómez Bergna, Abril Marchesini, María Luján Scalise, Nazareno Gonzalez, M Leticia Ferrelli, Marianela Candolfi, Víctor Romanowski, Matias L Pidre","Instituto de Biotecnología y Biología Molecular (IBBM, UNLP-CONICET), Facultad de Ciencias Exactas, Universidad Nacional de La Plata, Consejo Nacional de Investigaciones Científicas y Técnicas, La Plata B1900, Argentina., Instituto de Biotecnología y Biología Molecular (IBBM, UNLP-CONICET), Facultad de Ciencias Exactas, Universidad Nacional de La Plata, Consejo Nacional de Investigaciones Científicas y Técnicas, La Plata B1900, Argentina., Instituto de Biotecnología y Biología Molecular (IBBM, UNLP-CONICET), Facultad de Ciencias Exactas, Universidad Nacional de La Plata, Consejo Nacional de Investigaciones Científicas y Técnicas, La Plata B1900, Argentina., Instituto de Biotecnología y Biología Molecular (IBBM, UNLP-CONICET), Facultad de Ciencias Exactas, Universidad Nacional de La Plata, Consejo Nacional de Investigaciones Científicas y Técnicas, La Plata B1900, Argentina., Instituto de Investigaciones Biomédicas (INBIOMED, UBA-CONICET), Facultad de Medicina, Universidad de Buenos Aires, Consejo Nacional de Investigaciones Científicas y Técnicas, Ciudad Autónoma de Buenos Aires C1121ABG, Argentina., Instituto de Biotecnología y Biología Molecular (IBBM, UNLP-CONICET), Facultad de Ciencias Exactas, Universidad Nacional de La Plata, Consejo Nacional de Investigaciones Científicas y Técnicas, La Plata B1900, Argentina., Instituto de Investigaciones Biomédicas (INBIOMED, UBA-CONICET), Facultad de Medicina, Universidad de Buenos Aires, Consejo Nacional de Investigaciones Científicas y Técnicas, Ciudad Autónoma de Buenos Aires C1121ABG, Argentina., Instituto de Biotecnología y Biología Molecular (IBBM, UNLP-CONICET), Facultad de Ciencias Exactas, Universidad Nacional de La Plata, Consejo Nacional de Investigaciones Científicas y Técnicas, La Plata B1900, Argentina., Instituto de Biotecnología y Biología Molecular (IBBM, UNLP-CONICET), Facultad de Ciencias Exactas, Universidad Nacional de La Plata, Consejo Nacional de Investigaciones Científicas y Técnicas, La Plata B1900, Argentina.",
40563598,Periodic Boosters of COVID-19 Vaccines Do Not Affect the Safety and Efficacy of Immune Checkpoint Inhibitors for Advanced Non-Small Cell Lung Cancer: A Longitudinal Analysis of the Vax-On-Third Study.,2025-Jun-11,"Agnese Fabbri, Enzo Maria Ruggeri, Antonella Virtuoso, Diana Giannarelli, Armando Raso, Fabrizio Chegai, Daniele Remotti, Carlo Signorelli, Fabrizio Nelli","Medical Oncology Unit, Department of Oncology and Hematology, Central Hospital of Belcolle, 01100 Viterbo, Italy., Medical Oncology Unit, Department of Oncology and Hematology, Central Hospital of Belcolle, 01100 Viterbo, Italy., Medical Oncology Unit, Department of Oncology and Hematology, Central Hospital of Belcolle, 01100 Viterbo, Italy., Biostatistics Unit, Scientific Directorate, Fondazione Policlinico Universitario A. Gemelli, Istituto di Ricovero e Cura a Carattere Scientifico (IRCCS), 00136 Rome, Italy., Department of Oncology and Hematology, Thoracic and Interventional Radiology, Central Hospital of Belcolle, 01100 Viterbo, Italy., Department of Oncology and Hematology, Thoracic and Interventional Radiology, Central Hospital of Belcolle, 01100 Viterbo, Italy., Pathology Unit, Department of Oncology and Hematology, Central Hospital of Belcolle, 01100 Viterbo, Italy., Medical Oncology Unit, Department of Oncology and Hematology, Central Hospital of Belcolle, 01100 Viterbo, Italy., Medical Oncology Unit, Department of Oncology and Hematology, Central Hospital of Belcolle, 01100 Viterbo, Italy.",
